"org","organisation","year","measure","score","headcount","parent","par"
"AGO","Attorney General's Office",2014,"B01",95,40,"Civil Service","CS"
"AGO","Attorney General's Office",2014,"B02",86,40,"Civil Service","CS"
"AGO","Attorney General's Office",2014,"B03",81,40,"Civil Service","CS"
"AGO","Attorney General's Office",2014,"B04",83,40,"Civil Service","CS"
"AGO","Attorney General's Office",2014,"B05",89,40,"Civil Service","CS"
"AGO","Attorney General's Office",2014,"B06",97,40,"Civil Service","CS"
"AGO","Attorney General's Office",2014,"B07",100,40,"Civil Service","CS"
"AGO","Attorney General's Office",2014,"B08",100,40,"Civil Service","CS"
"AGO","Attorney General's Office",2014,"B09",81,40,"Civil Service","CS"
"AGO","Attorney General's Office",2014,"B10",78,40,"Civil Service","CS"
"AGO","Attorney General's Office",2014,"B11",92,40,"Civil Service","CS"
"AGO","Attorney General's Office",2014,"B12",78,40,"Civil Service","CS"
"AGO","Attorney General's Office",2014,"B13",76,40,"Civil Service","CS"
"AGO","Attorney General's Office",2014,"B14",84,40,"Civil Service","CS"
"AGO","Attorney General's Office",2014,"B15",76,40,"Civil Service","CS"
"AGO","Attorney General's Office",2014,"B16",84,40,"Civil Service","CS"
"AGO","Attorney General's Office",2014,"B17",76,40,"Civil Service","CS"
"AGO","Attorney General's Office",2014,"B18",57,40,"Civil Service","CS"
"AGO","Attorney General's Office",2014,"B19",92,40,"Civil Service","CS"
"AGO","Attorney General's Office",2014,"B20",97,40,"Civil Service","CS"
"AGO","Attorney General's Office",2014,"B21",97,40,"Civil Service","CS"
"AGO","Attorney General's Office",2014,"B22",84,40,"Civil Service","CS"
"AGO","Attorney General's Office",2014,"B23",84,40,"Civil Service","CS"
"AGO","Attorney General's Office",2014,"B24",68,40,"Civil Service","CS"
"AGO","Attorney General's Office",2014,"B25",73,40,"Civil Service","CS"
"AGO","Attorney General's Office",2014,"B26",95,40,"Civil Service","CS"
"AGO","Attorney General's Office",2014,"B27",92,40,"Civil Service","CS"
"AGO","Attorney General's Office",2014,"B28",81,40,"Civil Service","CS"
"AGO","Attorney General's Office",2014,"B29",81,40,"Civil Service","CS"
"AGO","Attorney General's Office",2014,"B30",97,40,"Civil Service","CS"
"AGO","Attorney General's Office",2014,"B31",95,40,"Civil Service","CS"
"AGO","Attorney General's Office",2014,"B32",89,40,"Civil Service","CS"
"AGO","Attorney General's Office",2014,"B33",100,40,"Civil Service","CS"
"AGO","Attorney General's Office",2014,"B34",92,40,"Civil Service","CS"
"AGO","Attorney General's Office",2014,"B35",76,40,"Civil Service","CS"
"AGO","Attorney General's Office",2014,"B36",76,40,"Civil Service","CS"
"AGO","Attorney General's Office",2014,"B37",35,40,"Civil Service","CS"
"AGO","Attorney General's Office",2014,"B38",43,40,"Civil Service","CS"
"AGO","Attorney General's Office",2014,"B39",38,40,"Civil Service","CS"
"AGO","Attorney General's Office",2014,"B40",89,40,"Civil Service","CS"
"AGO","Attorney General's Office",2014,"B41",95,40,"Civil Service","CS"
"AGO","Attorney General's Office",2014,"B42",84,40,"Civil Service","CS"
"AGO","Attorney General's Office",2014,"B43",81,40,"Civil Service","CS"
"AGO","Attorney General's Office",2014,"B44",83,40,"Civil Service","CS"
"AGO","Attorney General's Office",2014,"B45",59,40,"Civil Service","CS"
"AGO","Attorney General's Office",2014,"B46",62,40,"Civil Service","CS"
"AGO","Attorney General's Office",2014,"B47",89,40,"Civil Service","CS"
"AGO","Attorney General's Office",2014,"B48",73,40,"Civil Service","CS"
"AGO","Attorney General's Office",2014,"B49",73,40,"Civil Service","CS"
"AGO","Attorney General's Office",2014,"B50",89,40,"Civil Service","CS"
"AGO","Attorney General's Office",2014,"B51",81,40,"Civil Service","CS"
"AGO","Attorney General's Office",2014,"B52",65,40,"Civil Service","CS"
"AGO","Attorney General's Office",2014,"B53",81,40,"Civil Service","CS"
"CPS","Crown Prosecution Service",2014,"B01",90,6660,"Attorney General's Departments","AGO"
"CPS","Crown Prosecution Service",2014,"B02",78,6660,"Attorney General's Departments","AGO"
"CPS","Crown Prosecution Service",2014,"B03",73,6660,"Attorney General's Departments","AGO"
"CPS","Crown Prosecution Service",2014,"B04",43,6660,"Attorney General's Departments","AGO"
"CPS","Crown Prosecution Service",2014,"B05",52,6660,"Attorney General's Departments","AGO"
"CPS","Crown Prosecution Service",2014,"B06",85,6660,"Attorney General's Departments","AGO"
"CPS","Crown Prosecution Service",2014,"B07",81,6660,"Attorney General's Departments","AGO"
"CPS","Crown Prosecution Service",2014,"B08",83,6660,"Attorney General's Departments","AGO"
"CPS","Crown Prosecution Service",2014,"B09",58,6660,"Attorney General's Departments","AGO"
"CPS","Crown Prosecution Service",2014,"B10",71,6660,"Attorney General's Departments","AGO"
"CPS","Crown Prosecution Service",2014,"B11",69,6660,"Attorney General's Departments","AGO"
"CPS","Crown Prosecution Service",2014,"B12",58,6660,"Attorney General's Departments","AGO"
"CPS","Crown Prosecution Service",2014,"B13",63,6660,"Attorney General's Departments","AGO"
"CPS","Crown Prosecution Service",2014,"B14",70,6660,"Attorney General's Departments","AGO"
"CPS","Crown Prosecution Service",2014,"B15",58,6660,"Attorney General's Departments","AGO"
"CPS","Crown Prosecution Service",2014,"B16",54,6660,"Attorney General's Departments","AGO"
"CPS","Crown Prosecution Service",2014,"B17",56,6660,"Attorney General's Departments","AGO"
"CPS","Crown Prosecution Service",2014,"B18",33,6660,"Attorney General's Departments","AGO"
"CPS","Crown Prosecution Service",2014,"B19",78,6660,"Attorney General's Departments","AGO"
"CPS","Crown Prosecution Service",2014,"B20",73,6660,"Attorney General's Departments","AGO"
"CPS","Crown Prosecution Service",2014,"B21",60,6660,"Attorney General's Departments","AGO"
"CPS","Crown Prosecution Service",2014,"B22",52,6660,"Attorney General's Departments","AGO"
"CPS","Crown Prosecution Service",2014,"B23",43,6660,"Attorney General's Departments","AGO"
"CPS","Crown Prosecution Service",2014,"B24",29,6660,"Attorney General's Departments","AGO"
"CPS","Crown Prosecution Service",2014,"B25",33,6660,"Attorney General's Departments","AGO"
"CPS","Crown Prosecution Service",2014,"B26",68,6660,"Attorney General's Departments","AGO"
"CPS","Crown Prosecution Service",2014,"B27",78,6660,"Attorney General's Departments","AGO"
"CPS","Crown Prosecution Service",2014,"B28",52,6660,"Attorney General's Departments","AGO"
"CPS","Crown Prosecution Service",2014,"B29",63,6660,"Attorney General's Departments","AGO"
"CPS","Crown Prosecution Service",2014,"B30",82,6660,"Attorney General's Departments","AGO"
"CPS","Crown Prosecution Service",2014,"B31",55,6660,"Attorney General's Departments","AGO"
"CPS","Crown Prosecution Service",2014,"B32",72,6660,"Attorney General's Departments","AGO"
"CPS","Crown Prosecution Service",2014,"B33",85,6660,"Attorney General's Departments","AGO"
"CPS","Crown Prosecution Service",2014,"B34",51,6660,"Attorney General's Departments","AGO"
"CPS","Crown Prosecution Service",2014,"B35",42,6660,"Attorney General's Departments","AGO"
"CPS","Crown Prosecution Service",2014,"B36",49,6660,"Attorney General's Departments","AGO"
"CPS","Crown Prosecution Service",2014,"B37",32,6660,"Attorney General's Departments","AGO"
"CPS","Crown Prosecution Service",2014,"B38",37,6660,"Attorney General's Departments","AGO"
"CPS","Crown Prosecution Service",2014,"B39",33,6660,"Attorney General's Departments","AGO"
"CPS","Crown Prosecution Service",2014,"B40",32,6660,"Attorney General's Departments","AGO"
