id,"measure","response",year,"organisation","group",score
1,"EEI","P",2010,"CS","A",56
2,"MW","P",2010,"CS","A",71
3,"OP","P",2010,"CS","A",81
4,"LM","P",2010,"CS","A",64
5,"MT","P",2010,"CS","A",77
6,"LD","P",2010,"CS","A",43
7,"IF","P",2010,"CS","A",73
8,"RW","P",2010,"CS","A",73
9,"PB","P",2010,"CS","A",37
10,"LC","P",2010,"CS","A",37
11,"B01","P",2010,"CS","A",89
12,"B02","P",2010,"CS","A",73
13,"B03","P",2010,"CS","A",72
14,"B04","P",2010,"CS","A",49
15,"B05","P",2010,"CS","A",70
16,"B06","P",2010,"CS","A",84
17,"B07","P",2010,"CS","A",78
18,"B08","P",2010,"CS","A",80
19,"B09","P",2010,"CS","A",62
20,"B10","P",2010,"CS","A",78
21,"B11","P",2010,"CS","A",77
22,"B12","P",2010,"CS","A",58
23,"B13","P",2010,"CS","A",69
24,"B14","P",2010,"CS","A",77
25,"B15","P",2010,"CS","A",60
26,"B16","P",2010,"CS","A",57
27,"B17","P",2010,"CS","A",62
28,"B18","P",2010,"CS","A",37
29,"B19","P",2010,"CS","A",83
30,"B20","P",2010,"CS","A",78
31,"B21","P",2010,"CS","A",70
32,"B22","P",2010,"CS","A",55
33,"B23","P",2010,"CS","A",48
34,"B24","P",2010,"CS","A",28
35,"B25","P",2010,"CS","A",41
36,"B26","P",2010,"CS","A",78
37,"B27","P",2010,"CS","A",84
38,"B28","P",2010,"CS","A",60
39,"B29","P",2010,"CS","A",71
40,"B30","P",2010,"CS","A",82
41,"B31","P",2010,"CS","A",67
42,"B32","P",2010,"CS","A",74
43,"B33","P",2010,"CS","A",88
44,"B34","P",2010,"CS","A",72
45,"B35","P",2010,"CS","A",62
46,"B36","P",2010,"CS","A",70
47,"B37","P",2010,"CS","A",38
48,"B38","P",2010,"CS","A",39
49,"B39","P",2010,"CS","A",31
50,"B40","P",2010,"CS","A",41
51,"B41","P",2010,"CS","A",45
52,"B42","P",2010,"CS","A",39
53,"B43","P",2010,"CS","A",35
54,"B44","P",2010,"CS","A",36
55,"B45","P",2010,"CS","A",27
56,"B46","P",2010,"CS","A",23
57,"B47","P",2010,"CS","A",54
58,"B48","P",2010,"CS","A",32
59,"B49","P",2010,"CS","A",39
60,"B50","P",2010,"CS","A",55
61,"B51","P",2010,"CS","A",42
62,"B52","P",2010,"CS","A",46
63,"B53","P",2010,"CS","A",39
64,"B54","P",2010,"CS","A",36
65,"B55","P",2010,"CS","A",38
66,"B56","P",2010,"CS","A",46
67,"C01","P",2010,"CS","A",83
68,"C02","P",2010,"CS","A",78
69,"E01","P",2010,"CS","A",81
70,"E02","P",2010,"CS","A",53
71,"E03","P",2010,"CS","A",62
72,"F01","P",2010,"CS","A",10
73,"F03","P",2010,"CS","A",10
74,"EEI","P",2010,"AGO","A",73
75,"MW","P",2010,"AGO","A",80
76,"OP","P",2010,"AGO","A",90
77,"LM","P",2010,"AGO","A",79
78,"MT","P",2010,"AGO","A",91
79,"LD","P",2010,"AGO","A",46
80,"IF","P",2010,"AGO","A",87
81,"RW","P",2010,"AGO","A",84
82,"PB","P",2010,"AGO","A",32
83,"LC","P",2010,"AGO","A",64
84,"B01","P",2010,"AGO","A",91
85,"B02","P",2010,"AGO","A",76
86,"B03","P",2010,"AGO","A",79
87,"B04","P",2010,"AGO","A",76
88,"B05","P",2010,"AGO","A",76
89,"B06","P",2010,"AGO","A",91
90,"B07","P",2010,"AGO","A",91
91,"B08","P",2010,"AGO","A",88
92,"B09","P",2010,"AGO","A",76
93,"B10","P",2010,"AGO","A",91
94,"B11","P",2010,"AGO","A",91
95,"B12","P",2010,"AGO","A",76
96,"B13","P",2010,"AGO","A",85
97,"B14","P",2010,"AGO","A",88
98,"B15","P",2010,"AGO","A",79
99,"B16","P",2010,"AGO","A",69
100,"B17","P",2010,"AGO","A",72
101,"B18","P",2010,"AGO","A",55
102,"B19","P",2010,"AGO","A",97
103,"B20","P",2010,"AGO","A",91
104,"B21","P",2010,"AGO","A",85
105,"B22","P",2010,"AGO","A",62
106,"B23","P",2010,"AGO","A",50
107,"B24","P",2010,"AGO","A",24
108,"B25","P",2010,"AGO","A",48
109,"B26","P",2010,"AGO","A",91
110,"B27","P",2010,"AGO","A",91
111,"B28","P",2010,"AGO","A",79
112,"B29","P",2010,"AGO","A",85
113,"B30","P",2010,"AGO","A",91
114,"B31","P",2010,"AGO","A",82
115,"B32","P",2010,"AGO","A",88
116,"B33","P",2010,"AGO","A",97
117,"B34","P",2010,"AGO","A",85
118,"B35","P",2010,"AGO","A",68
119,"B36","P",2010,"AGO","A",74
120,"B37","P",2010,"AGO","A",38
121,"B38","P",2010,"AGO","A",33
122,"B39","P",2010,"AGO","A",24
123,"B40","P",2010,"AGO","A",74
124,"B41","P",2010,"AGO","A",79
125,"B42","P",2010,"AGO","A",65
126,"B43","P",2010,"AGO","A",59
127,"B44","P",2010,"AGO","A",59
128,"B45","P",2010,"AGO","A",67
129,"B46","P",2010,"AGO","A",42
130,"B47","P",2010,"AGO","A",71
131,"B48","P",2010,"AGO","A",65
132,"B49","P",2010,"AGO","A",62
133,"B50","P",2010,"AGO","A",82
134,"B51","P",2010,"AGO","A",79
135,"B52","P",2010,"AGO","A",73
136,"B53","P",2010,"AGO","A",82
137,"B54","P",2010,"AGO","A",76
138,"B55","P",2010,"AGO","A",71
139,"B56","P",2010,"AGO","A",74
140,"C01","P",2010,"AGO","A",97
141,"C02","P",2010,"AGO","A",100
142,"E01","P",2010,"AGO","A",97
143,"E02","P",2010,"AGO","A",82
144,"E03","P",2010,"AGO","A",91
145,"F01","P",2010,"AGO","A",3
146,"F03","P",2010,"AGO","A",0
147,"EEI","P",2010,"CPS","A",53
148,"MW","P",2010,"CPS","A",66
149,"OP","P",2010,"CPS","A",86
150,"LM","P",2010,"CPS","A",53
151,"MT","P",2010,"CPS","A",68
152,"LD","P",2010,"CPS","A",35
153,"IF","P",2010,"CPS","A",63
154,"RW","P",2010,"CPS","A",65
155,"PB","P",2010,"CPS","A",37
156,"LC","P",2010,"CPS","A",27
157,"B01","P",2010,"CPS","A",90
158,"B02","P",2010,"CPS","A",76
159,"B03","P",2010,"CPS","A",72
160,"B04","P",2010,"CPS","A",41
161,"B05","P",2010,"CPS","A",50
162,"B06","P",2010,"CPS","A",88
163,"B07","P",2010,"CPS","A",84
164,"B08","P",2010,"CPS","A",85
165,"B09","P",2010,"CPS","A",51
166,"B10","P",2010,"CPS","A",64
167,"B11","P",2010,"CPS","A",64
168,"B12","P",2010,"CPS","A",53
169,"B13","P",2010,"CPS","A",57
170,"B14","P",2010,"CPS","A",65
171,"B15","P",2010,"CPS","A",49
172,"B16","P",2010,"CPS","A",46
173,"B17","P",2010,"CPS","A",51
174,"B18","P",2010,"CPS","A",28
175,"B19","P",2010,"CPS","A",76
176,"B20","P",2010,"CPS","A",70
177,"B21","P",2010,"CPS","A",57
178,"B22","P",2010,"CPS","A",47
179,"B23","P",2010,"CPS","A",41
180,"B24","P",2010,"CPS","A",20
181,"B25","P",2010,"CPS","A",31
182,"B26","P",2010,"CPS","A",67
183,"B27","P",2010,"CPS","A",77
184,"B28","P",2010,"CPS","A",47
185,"B29","P",2010,"CPS","A",62
186,"B30","P",2010,"CPS","A",81
187,"B31","P",2010,"CPS","A",57
188,"B32","P",2010,"CPS","A",70
189,"B33","P",2010,"CPS","A",86
190,"B34","P",2010,"CPS","A",58
191,"B35","P",2010,"CPS","A",45
192,"B36","P",2010,"CPS","A",54
193,"B37","P",2010,"CPS","A",37
194,"B38","P",2010,"CPS","A",39
195,"B39","P",2010,"CPS","A",36
196,"B40","P",2010,"CPS","A",28
197,"B41","P",2010,"CPS","A",33
198,"B42","P",2010,"CPS","A",34
199,"B43","P",2010,"CPS","A",28
